# Dihedral Angle (Degree),  Occurrence1,  Occurrence2
1.000000000,  73.93846424,  76.29486853
3.000000000,  74.29747320,  75.72597086
5.000000000,  74.73465602,  76.32529661
7.000000000,  74.77172600,  76.51364128
9.000000000,  75.51418062,  76.68655935
11.00000000,  75.73903697,  77.17082660
13.00000000,  77.04533984,  77.55851760
15.00000000,  77.13222645,  79.27697339
17.00000000,  77.18817960,  79.21069635
19.00000000,  77.76911287,  79.62494249
21.00000000,  78.33380206,  81.02024587
23.00000000,  80.04092047,  82.10643599
25.00000000,  83.16958407,  83.63023306
27.00000000,  84.65226619,  85.21336379
29.00000000,  84.57198913,  86.96183716
31.00000000,  87.42822569,  89.67168033
33.00000000,  90.88471196,  91.94011783
35.00000000,  94.61381665,  93.61196812
37.00000000,  96.78593316,  96.50130858
39.00000000,  100.1110105,  99.40267086
41.00000000,  102.5803514,  101.7052342
43.00000000,  106.7804576,  105.2595564
45.00000000,  109.8633319,  107.3860372
47.00000000,  111.7693545,  109.7863516
49.00000000,  115.2034412,  111.6615083
51.00000000,  117.1685323,  114.5585529
53.00000000,  119.8341496,  116.7455985
55.00000000,  120.3111402,  117.8304670
57.00000000,  121.5202516,  117.6717639
59.00000000,  122.6679675,  118.6892636
61.00000000,  122.4426621,  118.3895538
63.00000000,  122.2782991,  118.9454894
65.00000000,  120.6725970,  117.3838047
67.00000000,  118.1508915,  114.6970703
69.00000000,  115.9813744,  112.6872826
71.00000000,  111.8307092,  109.0151479
73.00000000,  108.6013802,  105.2251520
75.00000000,  104.6347338,  100.5589001
77.00000000,  99.58057743,  96.29590189
79.00000000,  96.28521665,  92.40239638
81.00000000,  92.70919989,  89.00703947
83.00000000,  88.66797292,  85.12902223
85.00000000,  84.97763207,  81.43153246
87.00000000,  82.63549892,  79.49532028
89.00000000,  81.56535426,  77.61820222
91.00000000,  80.89723517,  76.67739888
93.00000000,  80.17093291,  76.87728859
95.00000000,  81.23218429,  77.96723698
97.00000000,  83.66820408,  80.49023417
99.00000000,  87.04596743,  82.87679459
101.0000000,  90.92193779,  86.84839299
103.0000000,  96.26484498,  91.20120214
105.0000000,  101.8437648,  97.58357398
107.0000000,  107.4081972,  102.7423536
109.0000000,  112.4967625,  108.2324261
111.0000000,  118.6575246,  114.2019798
113.0000000,  123.1205038,  120.4104791
115.0000000,  128.7630763,  123.0324135
117.0000000,  131.0639904,  125.8562207
119.0000000,  133.6119256,  127.8351850
121.0000000,  134.1446706,  129.4862718
123.0000000,  133.3808438,  128.2509113
125.0000000,  132.0254884,  125.7202731
127.0000000,  129.0256293,  124.7378790
129.0000000,  125.5815017,  120.4898828
131.0000000,  121.3176094,  116.8096552
133.0000000,  117.0179660,  112.4379465
135.0000000,  112.0665592,  106.6612014
137.0000000,  107.7294319,  101.4931197
139.0000000,  103.6721854,  97.26885807
141.0000000,  98.12886936,  93.23147389
143.0000000,  94.41717934,  91.09097432
145.0000000,  91.94159244,  87.73966781
147.0000000,  90.28769971,  86.33235284
149.0000000,  87.90689138,  84.75038749
