# Dihedral Angle (Degree),  Occurrence1,  Occurrence2
1.000000000,  76.97410756,  72.32672759
3.000000000,  76.42879091,  71.24726661
5.000000000,  77.35256252,  71.51164881
7.000000000,  78.16547127,  73.55798730
9.000000000,  78.58963669,  72.62139664
11.00000000,  78.81783339,  73.42531004
13.00000000,  78.22054718,  73.87798248
15.00000000,  78.98657596,  73.70088222
17.00000000,  80.35793523,  74.92711670
19.00000000,  81.29819276,  74.77866335
21.00000000,  82.57385681,  76.32565333
23.00000000,  84.16160168,  77.41536019
25.00000000,  86.08261473,  78.82510963
27.00000000,  87.22952523,  81.48262381
29.00000000,  90.45693860,  83.12092841
31.00000000,  91.62695882,  85.24469782
33.00000000,  95.21021285,  87.15605754
35.00000000,  96.37987049,  90.01392685
37.00000000,  99.91284970,  92.65325015
39.00000000,  103.7011237,  95.31421692
41.00000000,  105.6326295,  99.45138803
43.00000000,  108.4033700,  101.5598515
45.00000000,  111.8663475,  105.2567331
47.00000000,  114.5203448,  106.8885044
49.00000000,  117.9159405,  109.2957216
51.00000000,  122.3668693,  112.0617594
53.00000000,  122.6817763,  115.2444658
55.00000000,  124.9912104,  117.8441480
57.00000000,  124.9484741,  117.8458463
59.00000000,  125.2367476,  119.5522839
61.00000000,  124.7618830,  119.6187964
63.00000000,  125.2162265,  118.4331941
65.00000000,  124.3733020,  117.8816712
67.00000000,  122.0656978,  115.2415837
69.00000000,  119.1449841,  113.1958333
71.00000000,  114.2536071,  109.1714241
73.00000000,  109.4434401,  105.7101210
75.00000000,  105.3261500,  101.1337050
77.00000000,  100.7784908,  96.49530319
79.00000000,  96.35137992,  92.92110758
81.00000000,  92.54242496,  87.83103264
83.00000000,  87.41269921,  84.37640463
85.00000000,  83.48220587,  81.27723918
87.00000000,  80.39441602,  78.59353608
89.00000000,  77.89935658,  76.75540342
91.00000000,  77.42723742,  76.36240364
93.00000000,  77.12684572,  75.73543654
95.00000000,  77.22271196,  77.19672315
97.00000000,  78.78501894,  79.96001207
99.00000000,  81.24639158,  83.02268418
101.0000000,  85.29953058,  86.77831511
103.0000000,  89.84811450,  91.05008494
105.0000000,  94.18977714,  96.76711737
107.0000000,  99.92188366,  102.6214057
109.0000000,  105.7078040,  109.4728299
111.0000000,  111.4649088,  115.9219120
113.0000000,  115.0402765,  121.5221998
115.0000000,  118.4759139,  125.0254454
117.0000000,  123.6135829,  129.5445991
119.0000000,  125.8627463,  131.8068809
121.0000000,  125.4976030,  133.3855401
123.0000000,  124.5744594,  132.6188685
125.0000000,  122.6450478,  131.3268497
127.0000000,  121.3507416,  129.5009327
129.0000000,  117.7264540,  125.9358125
131.0000000,  113.0587201,  121.4545357
133.0000000,  108.7739185,  116.1106422
135.0000000,  104.1297777,  112.3393344
137.0000000,  99.69792116,  107.3951199
139.0000000,  95.85538627,  102.7958776
141.0000000,  92.21737561,  98.76576905
143.0000000,  88.89842336,  94.26133745
145.0000000,  86.48844663,  91.47784582
147.0000000,  83.58084499,  90.03302656
149.0000000,  83.41805201,  88.43189264
151.0000000,  83.22548678,  86.65775029
153.0000000,  83.19642520,  87.51677554
155.0000000,  84.34104221,  88.23067190
157.0000000,  85.71180451,  90.60390700
159.0000000,  88.03830306,  91.89204537
161.0000000,  90.83875680,  95.58674313
163.0000000,  94.07065909,  99.17153775
165.0000000,  97.38911643,  102.0986237
167.0000000,  100.6795170,  106.0706579
169.0000000,  103.9691001,  109.2269585
171.0000000,  106.8885565,  112.5231911
173.0000000,  108.0986828,  114.7922898
175.0000000,  111.1825946,  118.3554735
