dt,mean,stdev
0.5
01,180.701degreeStandarddeviation,180.352degreeStandarddeviation,179.854degreeStandarddeviation
03,178.798degreeStandarddeviation,181.335degreeStandarddeviation,180.208degreeStandarddeviation
06,176.039degreeStandarddeviation,180.88degreeStandarddeviation,180.933degreeStandarddeviation
09,180.385degreeStandarddeviation,179.291degreeStandarddeviation,180.443degreeStandarddeviation
15,177.221degreeStandarddeviation,180.957degreeStandarddeviation,180.424degreeStandarddeviation
30,182.646degreeStandarddeviation,178.9degreeStandarddeviation,179.982degreeStandarddeviation
45,180.682degreeStandarddeviation,179.035degreeStandarddeviation,179.93degreeStandarddeviation
90,183.288degreeStandarddeviation,178.146degreeStandarddeviation,180.043degreeStandarddeviation
