Distance [pm],  g(O-O),  g(O-H),  g(H-H)
166.5000000,  0.000000000,  1.086038516,  0.01762454513
169.5000000,  0.000000000,  1.385783378,  0.02724832512
172.5000000,  0.000000000,  1.638061039,  0.03932670392
175.5000000,  0.000000000,  1.829384204,  0.05620298993
178.5000000,  0.000000000,  1.944089632,  0.07787956912
181.5000000,  0.000000000,  1.979203934,  0.1034360394
184.5000000,  0.000000000,  1.943184861,  0.1366289052
187.5000000,  0.000000000,  1.858332700,  0.1738004000
190.5000000,  0.000000000,  1.730072918,  0.2184918133
193.5000000,  0.000000000,  1.582754894,  0.2701373494
196.5000000,  0.000000000,  1.431439968,  0.3275422873
199.5000000,  0.000000000,  1.278977139,  0.3926958253
202.5000000,  0.000000000,  1.138641265,  0.4628884255
205.5000000,  0.000000000,  1.002735792,  0.5382954476
208.5000000,  0.000000000,  0.8840096457,  0.6226510133
211.5000000,  0.000000000,  0.7794157694,  0.7103823311
214.5000000,  0.000000000,  0.6869560556,  0.8012345189
217.5000000,  0.000000000,  0.6101795393,  0.8979608281
220.5000000,  0.000000000,  0.5436240723,  0.9983506812
223.5000000,  0.000000000,  0.4881834741,  1.098317186
226.5000000,  0.000000000,  0.4398901424,  1.201194814
229.5000000,  0.000000000,  0.4012858498,  1.311203293
232.5000000,  0.000000000,  0.3702613423,  1.412126503
235.5000000,  0.000000000,  0.3428092570,  1.504435908
238.5000000,  2.057221596E-05,  0.3221172684,  1.595231701
241.5000000,  0.0002877693052,  0.3059822321,  1.669522414
244.5000000,  0.002204480915,  0.2928498096,  1.728917649
247.5000000,  0.01081885822,  0.2853362073,  1.776017621
250.5000000,  0.03990228425,  0.2803815010,  1.803455652
253.5000000,  0.1162738154,  0.2802255308,  1.806851338
256.5000000,  0.2680708848,  0.2817614379,  1.792042982
259.5000000,  0.5140729420,  0.2863431204,  1.752489724
262.5000000,  0.8425783369,  0.2945816158,  1.694037359
265.5000000,  1.211427044,  0.3039515391,  1.625014779
