# Dihedral Angle (Degree),  Occurrence1,  Occurrence2
1.000000000,  73.40521814,  74.23208321
3.000000000,  72.89334909,  75.35333887
5.000000000,  73.02860392,  75.43004014
7.000000000,  73.58550690,  75.91048066
9.000000000,  73.49748142,  75.24181198
11.00000000,  73.27410885,  76.17516335
13.00000000,  74.36338556,  75.64125388
15.00000000,  74.31662226,  77.14569379
17.00000000,  73.88723927,  77.39473978
19.00000000,  74.62889053,  78.05190556
21.00000000,  76.38625256,  78.39230625
23.00000000,  75.84728207,  80.00478344
25.00000000,  78.93351391,  81.40908952
27.00000000,  79.34807060,  83.66794536
29.00000000,  81.96840446,  85.46454013
31.00000000,  83.26246356,  87.77776203
33.00000000,  85.41891245,  90.25340084
35.00000000,  87.57367855,  91.31022477
37.00000000,  89.89034589,  94.03047867
39.00000000,  92.24518191,  96.86555658
41.00000000,  95.61077339,  99.78099283
43.00000000,  97.56220773,  103.0484778
45.00000000,  100.2369129,  104.8533219
47.00000000,  102.9886904,  108.5527466
49.00000000,  105.6403447,  110.8145703
51.00000000,  108.6201777,  113.3257909
53.00000000,  110.1750534,  115.2439686
55.00000000,  112.7417219,  117.3773196
57.00000000,  113.0552855,  118.6245693
59.00000000,  113.6816449,  119.8126308
61.00000000,  113.7437757,  119.0938897
63.00000000,  114.7123795,  118.7588621
65.00000000,  111.9990769,  118.2039785
67.00000000,  109.7341369,  116.1670277
69.00000000,  106.8712192,  113.4199617
71.00000000,  103.9611726,  109.7592267
73.00000000,  100.3181348,  105.9111157
75.00000000,  96.98702107,  102.2734716
77.00000000,  92.89789650,  98.69509736
79.00000000,  88.63601884,  93.93827303
81.00000000,  84.35663099,  89.81373105
83.00000000,  81.01478184,  85.51189520
85.00000000,  78.64918618,  82.65583341
87.00000000,  76.86655536,  80.48775798
89.00000000,  74.64158314,  78.93491615
91.00000000,  73.13413784,  78.35715846
93.00000000,  73.82893398,  79.23575708
95.00000000,  74.92160630,  80.49174156
97.00000000,  76.54983227,  81.90274170
99.00000000,  79.73006495,  85.12078615
101.0000000,  83.74624609,  89.49445326
103.0000000,  89.89277795,  94.88133886
105.0000000,  95.42051202,  101.0676918
107.0000000,  100.7499776,  107.3153651
109.0000000,  108.6281945,  113.8575328
111.0000000,  114.0137474,  119.8368046
113.0000000,  119.7857928,  123.6002871
115.0000000,  125.9631238,  129.3514634
117.0000000,  130.2138612,  134.0397148
119.0000000,  133.2316104,  134.6814674
121.0000000,  134.1403067,  135.7913407
123.0000000,  133.8955476,  135.5568165
125.0000000,  132.7604905,  134.1093836
127.0000000,  131.7377873,  131.6876179
129.0000000,  127.1764599,  127.6265738
131.0000000,  123.0564821,  123.5141798
133.0000000,  119.8648181,  119.6736039
135.0000000,  114.5650184,  115.0948642
137.0000000,  108.8860200,  109.2379340
139.0000000,  104.7834522,  104.6968167
141.0000000,  99.40101926,  100.9167074
143.0000000,  96.14311832,  96.98415939
145.0000000,  93.07773083,  93.05550781
147.0000000,  90.51899117,  90.08152000
149.0000000,  88.03824030,  88.01193296
151.0000000,  86.73631698,  87.40455197
153.0000000,  87.10884296,  87.30198249
155.0000000,  87.90971761,  86.50900017
157.0000000,  89.89567952,  88.33572223
159.0000000,  91.59294487,  88.85637962
161.0000000,  93.93555242,  91.04510144
163.0000000,  96.71394175,  94.56932743
165.0000000,  99.83378732,  97.22241528
167.0000000,  103.0028246,  100.2838504
169.0000000,  106.2878034,  103.6207689
171.0000000,  108.3484018,  106.6052086
173.0000000,  111.5427449,  108.3669218
175.0000000,  114.1280997,  111.1872959
177.0000000,  114.8346798,  112.2835392
179.0000000,  113.8841488,  113.1430731
181.0000000,  114.9796940,  112.2410270
183.0000000,  113.8605962,  111.5534204
185.0000000,  111.7633423,  110.6472904
187.0000000,  109.5724889,  108.0022731
189.0000000,  106.8827797,  105.8744835
191.0000000,  103.2204864,  103.5709452
193.0000000,  100.4737935,  100.2501411
195.0000000,  98.31883211,  96.49189669
197.0000000,  94.81861690,  93.99847185
199.0000000,  93.03111062,  90.65667644
201.0000000,  90.10907753,  89.42939851
203.0000000,  88.23521353,  87.32175573
205.0000000,  86.53165290,  84.63211151
207.0000000,  85.87213254,  83.66026017
209.0000000,  85.59526870,  85.01813269
211.0000000,  86.75900370,  86.14773315
213.0000000,  88.66936169,  86.92310070
215.0000000,  91.31260223,  88.27448416
217.0000000,  94.22819830,  91.66214215
219.0000000,  98.36450695,  95.95297990
221.0000000,  102.6051015,  99.64455173
223.0000000,  107.7955141,  104.0691061
225.0000000,  112.6813638,  108.8872299
227.0000000,  117.0208434,  113.8343538
229.0000000,  121.7042442,  117.4024397
231.0000000,  127.1885452,  122.8481525
233.0000000,  131.0546493,  126.5611734
235.0000000,  134.6847225,  129.4416446
237.0000000,  137.2312392,  131.2433923
239.0000000,  137.7831153,  132.2428467
241.0000000,  137.1510646,  130.5274804
243.0000000,  134.8194123,  129.8089409
245.0000000,  132.8084661,  126.5409636
247.0000000,  127.3726698,  121.8187889
249.0000000,  121.3141848,  116.8723488
251.0000000,  116.0196229,  111.7275812
253.0000000,  108.7530169,  105.1280920
255.0000000,  103.1268375,  99.74425852
257.0000000,  97.30402796,  94.31868002
259.0000000,  92.42614675,  89.11773919
261.0000000,  87.29490576,  84.92864684
263.0000000,  84.01624543,  81.09977447
265.0000000,  81.93601243,  79.50793099
267.0000000,  80.59375755,  79.21521360
269.0000000,  80.46467917,  78.50547477
271.0000000,  81.97180942,  79.81191654
273.0000000,  84.22955776,  81.29666129
275.0000000,  86.79865746,  83.88108155
277.0000000,  90.73244596,  87.20007343
279.0000000,  94.54218656,  89.86952112
281.0000000,  98.31531301,  94.99882975
283.0000000,  103.2344981,  99.95131680
285.0000000,  108.4053772,  104.8070044
287.0000000,  113.9321908,  107.8154392
289.0000000,  117.9769011,  112.5909639
291.0000000,  120.0560301,  116.4531544
293.0000000,  124.0275780,  118.7908727
295.0000000,  127.5709702,  121.7100347
297.0000000,  129.2221550,  123.8581159
299.0000000,  129.1277489,  124.3035204
301.0000000,  129.8875686,  124.5249694
303.0000000,  129.1883535,  124.4795135
305.0000000,  127.1729366,  123.2529582
307.0000000,  125.7181240,  121.8171483
309.0000000,  123.5132945,  118.6013649
311.0000000,  121.5415599,  117.0443487
313.0000000,  117.5034671,  114.0331269
315.0000000,  114.1803201,  110.1131419
317.0000000,  111.4483509,  108.3418068
319.0000000,  106.4815328,  105.3378810
321.0000000,  103.6179022,  101.1913980
323.0000000,  101.2053950,  99.60792965
325.0000000,  98.35086543,  96.86017243
327.0000000,  94.97628869,  92.87372124
329.0000000,  92.41295598,  90.06468603
331.0000000,  90.37881582,  87.68439257
333.0000000,  87.55483854,  85.42416771
335.0000000,  84.36358935,  84.21483166
337.0000000,  83.24440661,  81.90009629
339.0000000,  81.93349434,  80.62227267
341.0000000,  79.96891941,  79.24385848
343.0000000,  78.35629411,  77.65457253
345.0000000,  77.71592720,  76.98739658
347.0000000,  76.82609162,  76.34858595
349.0000000,  75.48675464,  76.30674325
351.0000000,  75.52270662,  75.56139200
353.0000000,  75.81377866,  75.47962222
355.0000000,  74.19292817,  75.69562930
357.0000000,  73.20700125,  76.39886554
359.0000000,  73.27468930,  76.82894418
