Distance [pm],  g(O-O),  g(O-H),  g(H-H)
390.0000000,  0.6144681983,  0.8108991119,  0.6237482278
394.0000000,  0.6269508343,  0.8097373728,  0.6381748730
398.0000000,  0.6402755760,  0.8096933843,  0.6494734976
402.0000000,  0.6573547342,  0.8126466525,  0.6644334170
406.0000000,  0.6739266644,  0.8189412863,  0.6797104366
410.0000000,  0.6929088086,  0.8243868936,  0.6936846028
414.0000000,  0.7161110911,  0.8346504544,  0.7071654482
418.0000000,  0.7385920900,  0.8440842644,  0.7248398512
422.0000000,  0.7654383259,  0.8539962429,  0.7402589205
426.0000000,  0.7942706652,  0.8646148296,  0.7545327405
430.0000000,  0.8281991401,  0.8747865243,  0.7716209570
434.0000000,  0.8647665717,  0.8851508386,  0.7911071628
438.0000000,  0.8986539763,  0.8968740809,  0.8075208914
442.0000000,  0.9353479254,  0.9066762896,  0.8249086540
446.0000000,  0.9731392755,  0.9157667813,  0.8421568627
450.0000000,  1.005732671,  0.9255160565,  0.8573678836
454.0000000,  1.032672489,  0.9361054392,  0.8756113957
458.0000000,  1.055908843,  0.9446592177,  0.8913590825
462.0000000,  1.073639780,  0.9498475802,  0.9066771112
466.0000000,  1.087276043,  0.9544222631,  0.9226956756
470.0000000,  1.095388995,  0.9582818790,  0.9375778458
474.0000000,  1.100618881,  0.9600719456,  0.9500096392
478.0000000,  1.103962636,  0.9625884137,  0.9615557976
482.0000000,  1.103399979,  0.9627895754,  0.9754149260
486.0000000,  1.103791385,  0.9640741865,  0.9864364699
490.0000000,  1.100982320,  0.9642571154,  0.9977348320
494.0000000,  1.101992890,  0.9658213348,  1.005477817
498.0000000,  1.100478050,  0.9690987718,  1.013913034
502.0000000,  1.100885113,  0.9721801380,  1.020936102
506.0000000,  1.103126365,  0.9761662566,  1.026808174
510.0000000,  1.103658087,  0.9803324131,  1.033806610
514.0000000,  1.101342891,  0.9845088598,  1.037166873
518.0000000,  1.104717841,  0.9877323277,  1.042776889
522.0000000,  1.107992375,  0.9917167377,  1.047363227
526.0000000,  1.113323824,  0.9945636241,  1.052050857
530.0000000,  1.118787641,  0.9977541151,  1.054825067
534.0000000,  1.126362313,  0.9995602069,  1.055374283
538.0000000,  1.131424768,  1.001012716,  1.054755541
542.0000000,  1.136401168,  1.004412842,  1.052910828
546.0000000,  1.138635689,  1.006036089,  1.052198560
550.0000000,  1.137155566,  1.007437164,  1.049130020
554.0000000,  1.135389033,  1.008261606,  1.042729671
558.0000000,  1.128878877,  1.008909120,  1.043216775
562.0000000,  1.116231499,  1.009988787,  1.035896770
566.0000000,  1.098228849,  1.011456129,  1.031810023
570.0000000,  1.079367373,  1.013663756,  1.026930329
574.0000000,  1.059532064,  1.013162907,  1.024538268
578.0000000,  1.037708579,  1.015449359,  1.019006250
582.0000000,  1.016334183,  1.017773812,  1.013294557
586.0000000,  0.9957848948,  1.019169919,  1.009150890
590.0000000,  0.9774188747,  1.020535552,  1.004306760
594.0000000,  0.9617979409,  1.021484711,  1.002776354
598.0000000,  0.9469223746,  1.022730980,  0.9993535072
602.0000000,  0.9354242183,  1.023448987,  0.9965092872
606.0000000,  0.9270694095,  1.024486804,  0.9930925096
610.0000000,  0.9192142449,  1.025099151,  0.9930771710
614.0000000,  0.9122836513,  1.024980744,  0.9903383150
618.0000000,  0.9082289349,  1.025445150,  0.9896152142
622.0000000,  0.9034596378,  1.024085689,  0.9875831928
626.0000000,  0.9021490559,  1.023605300,  0.9867323668
630.0000000,  0.9027369676,  1.022731419,  0.9869310727
634.0000000,  0.9026400986,  1.020723412,  0.9869257091
638.0000000,  0.9063517299,  1.018452818,  0.9872588364
642.0000000,  0.9075580236,  1.016267342,  0.9878848584
646.0000000,  0.9116885143,  1.012866335,  0.9875913184
650.0000000,  0.9151727105,  1.010304084,  0.9888646722
654.0000000,  0.9219493543,  1.006193994,  0.9880584511
658.0000000,  0.9291832922,  1.003037054,  0.9874338179
662.0000000,  0.9351654008,  0.9991844480,  0.9877922980
666.0000000,  0.9421460847,  0.9979512595,  0.9896800940
670.0000000,  0.9498759394,  0.9944313706,  0.9904972661
674.0000000,  0.9599875124,  0.9936504432,  0.9929344417
678.0000000,  0.9668728781,  0.9917912780,  0.9950085861
682.0000000,  0.9753908861,  0.9919753308,  0.9963225929
686.0000000,  0.9845129469,  0.9915106076,  0.9977425785
690.0000000,  0.9913019872,  0.9913069367,  0.9994935229
694.0000000,  0.9984924400,  0.9914138047,  1.000809484
698.0000000,  1.006055104,  0.9924199614,  1.002001313
702.0000000,  1.012391563,  0.9938052506,  1.004474373
706.0000000,  1.018170424,  0.9940826768,  1.005680908
710.0000000,  1.024650831,  0.9955169879,  1.005915474
714.0000000,  1.028707401,  0.9966323093,  1.007560848
718.0000000,  1.033010547,  0.9984170757,  1.008512871
722.0000000,  1.034776302,  1.000862776,  1.009742407
726.0000000,  1.037854500,  1.002214147,  1.010441228
730.0000000,  1.039175095,  1.003098567,  1.011525352
734.0000000,  1.038784039,  1.004478499,  1.011867381
738.0000000,  1.038287682,  1.005089163,  1.011892627
742.0000000,  1.037938222,  1.005585584,  1.012626694
746.0000000,  1.037115838,  1.006735519,  1.013503744
750.0000000,  1.035274865,  1.007682562,  1.014924926
754.0000000,  1.034060189,  1.008064979,  1.014155840
758.0000000,  1.032358790,  1.008249786,  1.012790449
762.0000000,  1.029385112,  1.010562099,  1.014487212
766.0000000,  1.028636467,  1.010858374,  1.015551820
770.0000000,  1.026992783,  1.010641043,  1.015189409
774.0000000,  1.023730942,  1.010347024,  1.013584307
778.0000000,  1.023848497,  1.010976324,  1.013268944
782.0000000,  1.021603054,  1.011422448,  1.011656891
786.0000000,  1.020991314,  1.011293482,  1.011442990
790.0000000,  1.019318847,  1.011114400,  1.011494991
794.0000000,  1.016380161,  1.010348150,  1.011893642
798.0000000,  1.015028348,  1.008830907,  1.012323358
802.0000000,  1.015325204,  1.009894363,  1.011641080
806.0000000,  1.013496456,  1.009808506,  1.011944409
810.0000000,  1.011521562,  1.009121447,  1.009374339
814.0000000,  1.009811987,  1.007639414,  1.009028077
818.0000000,  1.010126645,  1.007612862,  1.008613993
822.0000000,  1.007314063,  1.008031703,  1.008193342
826.0000000,  1.004551226,  1.006118087,  1.007033146
830.0000000,  1.003209291,  1.004774025,  1.006846930
834.0000000,  1.001600392,  1.004960314,  1.006537371
838.0000000,  0.9980812303,  1.003971404,  1.005336905
842.0000000,  0.9961062649,  1.003822503,  1.004208134
846.0000000,  0.9936850272,  1.002684240,  1.002760518
