# Dihedral Angle (Degree),  Occurrence
1.000000000,  0.1520821147
3.000000000,  0.1756529285
5.000000000,  0.2232122162
7.000000000,  0.2433516886
9.000000000,  0.2858760202
11.00000000,  0.3094805302
13.00000000,  0.3910053184
15.00000000,  0.4763020789
17.00000000,  0.7589847332
19.00000000,  1.039993734
21.00000000,  1.432291753
23.00000000,  1.926066992
25.00000000,  2.742901123
27.00000000,  4.126292213
29.00000000,  5.970753975
31.00000000,  8.479056551
33.00000000,  12.73066717
35.00000000,  18.40226493
37.00000000,  25.33904936
39.00000000,  37.29722536
41.00000000,  52.86552608
43.00000000,  72.46237930
45.00000000,  99.28852237
47.00000000,  131.7257835
49.00000000,  173.4600403
51.00000000,  221.6106134
53.00000000,  275.7158931
55.00000000,  334.0273263
57.00000000,  395.9516473
59.00000000,  452.2619170
61.00000000,  502.3634792
63.00000000,  546.1189525
65.00000000,  571.0528692
67.00000000,  580.9137896
69.00000000,  573.6718739
71.00000000,  551.2750960
73.00000000,  511.2020049
75.00000000,  461.2065372
77.00000000,  405.2713534
79.00000000,  344.3086513
81.00000000,  288.6116280
83.00000000,  232.4196507
85.00000000,  183.6434444
87.00000000,  142.7075360
89.00000000,  107.7901053
91.00000000,  82.37892988
93.00000000,  60.78156891
95.00000000,  44.47730527
97.00000000,  33.00727555
99.00000000,  23.62869619
101.0000000,  17.17599485
103.0000000,  12.48791111
105.0000000,  9.204508796
107.0000000,  6.947823088
109.0000000,  5.167277410
111.0000000,  3.895791479
113.0000000,  3.132614100
115.0000000,  2.440712520
117.0000000,  1.812410226
119.0000000,  1.742740082
121.0000000,  1.574110401
123.0000000,  1.456546927
125.0000000,  1.284027129
127.0000000,  1.212459908
129.0000000,  1.121991979
131.0000000,  1.236636790
133.0000000,  1.127017107
135.0000000,  1.309836168
137.0000000,  1.328540648
139.0000000,  1.474815401
141.0000000,  1.611761622
143.0000000,  1.679960071
145.0000000,  2.043429587
147.0000000,  2.542972712
149.0000000,  2.807987890
151.0000000,  3.190708626
153.0000000,  3.741846585
155.0000000,  4.524263154
157.0000000,  5.039147563
159.0000000,  5.800888542
161.0000000,  6.729716407
163.0000000,  7.479961841
165.0000000,  8.507010669
167.0000000,  9.211756450
169.0000000,  9.948360974
171.0000000,  10.71848052
173.0000000,  11.41962391
175.0000000,  12.16518543
177.0000000,  12.35325583
179.0000000,  12.61122557
181.0000000,  12.66670303
183.0000000,  12.18881541
185.0000000,  11.83599423
187.0000000,  11.10627237
189.0000000,  10.58830680
191.0000000,  9.598009786
193.0000000,  9.028738821
195.0000000,  8.105549742
197.0000000,  7.357976685
199.0000000,  6.428823445
201.0000000,  5.717652576
203.0000000,  5.073400348
205.0000000,  4.203144020
207.0000000,  3.636927111
209.0000000,  3.214626308
211.0000000,  2.738118769
213.0000000,  2.349751678
215.0000000,  2.025163511
217.0000000,  1.734427649
219.0000000,  1.698998710
221.0000000,  1.512536579
223.0000000,  1.361533510
225.0000000,  1.320210743
227.0000000,  1.231603495
229.0000000,  1.322194618
231.0000000,  1.297732442
233.0000000,  1.244874201
235.0000000,  1.230386595
237.0000000,  1.473869291
239.0000000,  1.581071755
241.0000000,  1.755140097
243.0000000,  2.230052739
245.0000000,  2.814059816
247.0000000,  3.351814141
249.0000000,  4.272680567
251.0000000,  5.558939354
253.0000000,  7.439171511
255.0000000,  9.780743492
257.0000000,  13.27752075
259.0000000,  18.06445416
261.0000000,  25.47552165
263.0000000,  34.15762530
265.0000000,  47.28347192
267.0000000,  63.54584487
269.0000000,  86.48085465
271.0000000,  115.2211659
273.0000000,  150.4811313
275.0000000,  193.3348696
277.0000000,  243.2410200
279.0000000,  301.6175272
281.0000000,  363.2746487
283.0000000,  422.0765492
285.0000000,  481.9782354
287.0000000,  535.2836420
289.0000000,  573.9359886
291.0000000,  602.1482565
293.0000000,  608.0137954
295.0000000,  597.7870663
297.0000000,  569.5744291
299.0000000,  526.3694224
301.0000000,  475.3907386
303.0000000,  414.3427415
305.0000000,  350.5223594
307.0000000,  288.9930237
309.0000000,  233.6828395
311.0000000,  184.6323447
313.0000000,  140.1200642
315.0000000,  106.0415906
317.0000000,  77.21028913
319.0000000,  55.70150082
321.0000000,  39.09682262
323.0000000,  27.79129827
325.0000000,  19.08979390
327.0000000,  12.90193128
329.0000000,  8.944104106
331.0000000,  6.220353366
333.0000000,  4.215397476
335.0000000,  2.901226935
337.0000000,  2.007281964
339.0000000,  1.426436845
341.0000000,  0.9666992542
343.0000000,  0.7071553659
345.0000000,  0.6114798250
347.0000000,  0.4212816747
349.0000000,  0.3596152099
351.0000000,  0.2687566580
353.0000000,  0.2057078124
355.0000000,  0.1887886154
357.0000000,  0.2021931833
359.0000000,  0.1729097675
