dt,Temp,rmse[Temp],PotEng,rmse[PotEng],Press,rmse[Press],MolPress,rmse[MolPress]
0.5
01,148.83962551033019,7.1175071376633446E-003,5477.3399115714592,9.4432232032810131,424.04117948460436,6.3960054309952294,356.48204253012676,19.137680518145952
03,148.55092044170996,6.9535910047428375E-003,5491.2842795444067,7.1372226029204509,1193.3249597237866,6.4333115843824862,352.84505178392823,22.997819668538057
06,148.54505745455162,7.2640061394187187E-003,-823.32356779071745,17.960397318075309,1178.7392501006816,6.4138713093305251,-9558.0546973609671,23.070926985312120
09,148.56163397627188,7.0398070143688866E-003,-812.07614213270358,18.070258979846432,1226.2187891896758,6.3862334546114861,-9522.7344655109428,28.679947914421813
15,149.11846920879850,6.9470732660799252E-003,-824.79185184259222,25.114353512526463,1220.1943011680855,6.4901263069452302,-9578.6382535869598,25.821638015183389
30,149.47220190111358,6.9580406978725839E-003,-857.33571017203496,23.965967006415369,1126.7045489912732,14.757609010626163,-9598.7390173149397,42.201222386091779
45,149.87704927676126,7.0308560377734773E-003,-817.02404927814814,20.363265864250980,1109.4391821573495,15.608651037684899,-9596.4113542196101,30.657086358611704
90,152.84597945396860,7.8809870714446079E-003,-735.45686800661895,17.778266009640532,972.75897606269859,15.039651606666746,-9606.7230908812726,30.648361064443808
