Distance [pm],  g(O-O),  g(O-H),  g(H-H)
163.5000000,  0.000000000,  1.349371830,  0.02815436090
166.5000000,  0.000000000,  1.534692240,  0.04311208176
169.5000000,  0.000000000,  1.634211052,  0.06341763892
172.5000000,  0.000000000,  1.649381541,  0.09115108528
175.5000000,  0.000000000,  1.592323827,  0.1268290247
178.5000000,  0.000000000,  1.489644271,  0.1691521020
181.5000000,  0.000000000,  1.354922895,  0.2218566416
184.5000000,  0.000000000,  1.202131765,  0.2831353688
187.5000000,  0.000000000,  1.053863107,  0.3531355327
190.5000000,  0.000000000,  0.9107214770,  0.4267864977
193.5000000,  0.000000000,  0.7812746079,  0.5100463910
196.5000000,  0.000000000,  0.6700621291,  0.5967481571
199.5000000,  0.000000000,  0.5730761658,  0.6844175724
202.5000000,  0.000000000,  0.4898969628,  0.7723704892
205.5000000,  0.000000000,  0.4223383534,  0.8611990588
208.5000000,  0.000000000,  0.3638556187,  0.9495235350
211.5000000,  0.000000000,  0.3178232360,  1.029740942
214.5000000,  0.000000000,  0.2795026238,  1.106195168
217.5000000,  0.000000000,  0.2466056543,  1.171982598
220.5000000,  0.000000000,  0.2226714968,  1.231326709
223.5000000,  0.000000000,  0.2022880166,  1.279628005
226.5000000,  0.000000000,  0.1857864608,  1.318593114
229.5000000,  0.000000000,  0.1745231486,  1.343520136
232.5000000,  3.060269945E-06,  0.1671978694,  1.357242350
235.5000000,  2.119471774E-05,  0.1623348444,  1.359741280
238.5000000,  0.0001508481079,  0.1600794739,  1.348787973
241.5000000,  0.001915212272,  0.1619399197,  1.329436238
244.5000000,  0.01209483743,  0.1675404669,  1.299021464
247.5000000,  0.05191616503,  0.1760499247,  1.260998429
250.5000000,  0.1689556316,  0.1889350880,  1.215024015
253.5000000,  0.4208377590,  0.2061796693,  1.163589377
256.5000000,  0.8433819504,  0.2275203800,  1.106526908
259.5000000,  1.399764215,  0.2544299257,  1.048844445
262.5000000,  2.010585596,  0.2863538304,  0.9907645602
