dt,mean,stdev
0.5,107.672,5.22617
01,107.661,5.22332
03,107.672,5.21895
06,107.666,5.22306
09,107.666,5.2217
15,107.664,5.22971
30,107.657,5.2321
45,107.67,5.24519
90,107.68,5.23665
