dt,Temp,rmse[Temp],PotEng,rmse[PotEng],Press,rmse[Press],MolPress,rmse[MolPress],Virial,rmse[Virial],NBVirial,rmse[NBVirial],MolVirial,rmse[MolVirial]
0.5,296.04619724609785,3.3822265513669937E-002,-21938.147654998815,6.8484064308528563,472.75787538067999,16.743595700833396,459.80189004354537,18.971306062565930
01,148.63917591741193,8.7608695893396423E-003,-21947.463672112666,4.4427224380824111,943.85619181730181,12.138560441603714,467.21261460340452,9.8337796937572470,-8834.2147428327826,33.293952536495745,82289.928387542022,48.000010004886633,-2526.1998586793820,26.972341238764983
03,147.33308176070878,9.0178717662009310E-003,-21957.305650355054,4.4639618692705483,6043.1681466913396,13.201737069210708,512.25482048923186,10.067183474888154,5152.3078774664673,36.210060451247948,80820.562119393318,50.416855709654861,-2402.6569499369307,27.612527070371250
06,147.36999866417611,9.0686983357363433E-003,-21963.545018865752,4.9076069279067749,6022.7921681457365,11.813538810696205,517.66663106732017,10.003931997535201,5096.4201248911495,32.402474934614688,80895.232612898806,47.652122887798136,-2387.8132981389817,27.439039308376476
09,147.51738074689644,8.8682635047488204E-003,-21952.742074968482,4.7300375210884242,5938.4843136286718,13.461585332985065,490.39813124377508,10.568749581415307,4865.1783956722693,36.922778882928057,80828.879167757885,51.555754323956890,-2462.6060335077723,28.988235353488232
15,148.26107267882401,9.1182327338238840E-003,-21951.926170490144,4.9442976602931825,6052.8650343777545,12.842748984501753,517.20283065827141,10.469401962731789,5178.9047478235379,35.225418795347487,81210.678943395469,51.023075165077415,-2389.0854217058377,28.715742176313189
30,151.45199288864148,8.9445654147798734E-003,-21894.906654403247,5.0979745582609564,5990.7974707706635,12.342075558767270,553.20465313945863,10.323071929657997,5008.6642545843051,33.852158979829724,81790.827331342007,45.650704581598738,-2290.3387066663754,28.314384437126563
45,152.10733894500606,9.1252961169215868E-003,-21871.157248291576,5.0251673774459507,5772.8388181320470,13.087178820614252,604.48150034760977,9.9640214955693107,4410.8417145245394,35.895847171198525,81677.042993308409,47.522025593686799,-2149.6952650176045,27.329571767760470
90,162.12244654450282,1.1551208591572382E-002,-21714.318494146286,5.5401330790306575,5530.5828275093254,13.960751790836770,513.82183242911276,11.116830205038330,3746.3758174129066,38.291905348580968,80509.242950654661,54.281567748882281,-2398.3589097037784,30.491524838008594
