dt,mean,stdev
0.5,107.667,5.23254
01,107.685,5.21481
03,107.859,5.13691
06,107.861,5.13342
09,107.856,5.13152
15,107.852,5.15124
30,107.798,5.5456
45,107.835,5.30972
90,107.867,5.35193
