dt,mean,stdev
0.5,103.119,2.47071
01,103.089,2.45709
03,102.767,2.38185
06,102.77,2.3845
09,102.772,2.39738
15,102.772,2.45314
30,102.787,2.47756
45,102.795,2.49808
90,102.785,2.48009
