#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
100,12941.686676799305,14766.25870419351,27707.945380992816,473.59216130846744,23.6678637526259,1.0886736781489672,0
200,12149.42192411088,14306.984499965607,26456.406424076486,458.8620480569809,24.03984500330897,1.071828053881097,89.6
300,12318.16156237547,13154.597765765491,25472.75932814096,421.90202080525415,24.4778029857437,1.0526508567989852,83.3
400,11923.292078262006,12736.057244904718,24659.349323166723,408.478342279743,24.854587930636658,1.036693119089657,80.4
500,11753.203732324662,12224.747062813269,23977.95079513793,392.0793004447963,25.232673709737025,1.021159334199166,80.3
600,11491.237029187818,11865.630694745958,23356.867723933778,380.5615084081482,25.41660534265039,1.0137695391706065,81.4
700,11291.931193652286,11660.59397466339,22952.525168315675,373.9854497492324,25.446936293519645,1.0125611974774982,81.8
800,10715.814964203273,11709.371261626626,22425.1862258299,375.54986367549805,25.62609199405745,1.0054822362877252,81
900,10548.087821990208,11398.53738827881,21946.62521026902,365.5806162963452,25.838626955918144,0.9972116679984119,81.5
1000,10468.52011244218,11080.448277508383,21548.96838995056,355.3786746619573,25.900371053878825,0.9948344072715929,81.7
1100,10160.952320516677,11078.816619746047,21239.768940262722,355.32634317151945,25.94239138984526,0.9932230185836214,82.1
1200,9818.83986268074,11098.433285219513,20917.273147900254,355.9555004404901,26.233371971437254,0.9822061881162043,82.1
1300,9695.021791316962,10854.744402682387,20549.76619399935,348.13976682241207,25.989575003472485,0.9914198397648739,82.2
1400,9712.162553216265,10561.896316396742,20274.058869613007,338.7473702175984,25.713491366514628,1.0020646328508453,82.4
1500,9419.598490964396,10685.628873215743,20105.227364180137,342.71579378256627,25.522641979517584,1.009557721578277,82.2
1600,9143.096561818245,10620.4059109173,19763.502472735545,340.62392445394016,25.43656843984322,1.0129739137744584,82.4
1700,9280.113787143462,10413.924799064356,19694.03858620782,334.0015404099684,25.489534508962958,1.0108690010184171,82.3
1800,8904.959112324505,10498.275045167684,19403.23415749219,336.7068712699533,25.189548182216758,1.0229076003709536,82.1
1900,8647.504352046526,10485.806332251494,19133.31068429802,336.3069673527183,25.193140464083218,1.0227617443023498,81.5
2000,8762.981374730283,10331.062112313226,19094.04348704351,331.34391943119266,25.253979238646906,1.020297832749799,81
2100,8406.35791722082,10554.271811479915,18960.629728700733,338.5028325974197,24.889315159111938,1.0352466558754132,81.2
2200,8408.45191978741,10214.558201319947,18623.010121107356,327.60733726007527,24.889315159111938,1.0352466558754132,81.2
2300,8231.576244002099,10032.583433357817,18264.159677359916,321.7709351362037,25.09129928153363,1.0269129548210847,81.3
2400,8180.069015666406,9980.97748213407,18161.046497800475,320.1157986208525,25.168902956016797,1.0237466579503889,80.7
2500,8063.382233941935,9871.699427106647,17935.08166104858,316.6109683655539,25.015355763602187,1.0300305352039294,80.3
2600,8042.327266033179,9771.183527951984,17813.510793985162,313.38716314311114,24.812419741057273,1.038454957412466,80.1
