dt,mean,stdev
0.5,107.667,5.23254
01,107.669,5.22356
03,107.661,5.2546
06,107.662,5.24898
09,107.657,5.25729
15,107.644,5.30611
30,107.645,5.31889
45,107.679,5.22909
90,107.692,5.27291
