dt,mean,stdev
0.5,103.119,2.50517
01,103.119,2.46779
03,103.118,2.41145
06,103.118,2.41319
09,103.119,2.41303
15,103.127,2.42556
30,103.112,2.4243
45,103.15,2.38419
90,103.178,2.39168
