Distance [pm],  g(O-O),  g(O-H),  g(H-H)
166.5000000,  0.000000000,  1.461193669,  0.04281137886
169.5000000,  0.000000000,  1.578930806,  0.06230921191
172.5000000,  0.000000000,  1.621832838,  0.08870015203
175.5000000,  0.000000000,  1.585043600,  0.1240834467
178.5000000,  0.000000000,  1.496437090,  0.1656025465
181.5000000,  0.000000000,  1.374605671,  0.2162297795
184.5000000,  0.000000000,  1.230663431,  0.2749131618
187.5000000,  0.000000000,  1.082611170,  0.3425739549
190.5000000,  0.000000000,  0.9406907152,  0.4172360739
193.5000000,  0.000000000,  0.8125703175,  0.4971791863
196.5000000,  0.000000000,  0.6960558210,  0.5807741414
199.5000000,  0.000000000,  0.5965283420,  0.6666454975
202.5000000,  0.000000000,  0.5109581933,  0.7549566101
205.5000000,  0.000000000,  0.4400733831,  0.8434012299
208.5000000,  0.000000000,  0.3813475370,  0.9273166819
211.5000000,  0.000000000,  0.3325742735,  1.009326167
214.5000000,  0.000000000,  0.2934446480,  1.082413694
217.5000000,  0.000000000,  0.2600704388,  1.150583141
220.5000000,  0.000000000,  0.2336849599,  1.209647959
223.5000000,  0.000000000,  0.2117322842,  1.258265626
226.5000000,  0.000000000,  0.1961249629,  1.298285828
229.5000000,  0.000000000,  0.1836264056,  1.324833639
232.5000000,  0.000000000,  0.1753240389,  1.341600311
235.5000000,  1.271334579E-05,  0.1701788464,  1.345672826
238.5000000,  0.0002008455774,  0.1681792678,  1.340407809
241.5000000,  0.001799426256,  0.1690238067,  1.323783170
244.5000000,  0.01026936248,  0.1744628370,  1.298080177
247.5000000,  0.04590916562,  0.1839225148,  1.259355944
250.5000000,  0.1527349298,  0.1959360439,  1.217220479
253.5000000,  0.3853671230,  0.2130326675,  1.170535697
256.5000000,  0.7790217923,  0.2341034497,  1.116028251
259.5000000,  1.315627378,  0.2610443203,  1.062514469
262.5000000,  1.913539721,  0.2923229877,  1.008499310
265.5000000,  2.458424866,  0.3302448904,  0.9531301768
