dt,mean,stdev
0.5,103.119,2.47071
01,103.092,2.46748
03,102.78,2.47637
06,103.119,2.45437
09,102.784,2.48225
15,102.781,2.49936
30,102.779,2.5012
45,102.781,2.50256
90,102.771,2.4939
