dt,mean,stdev
0.5,103.119,2.50517
01,103.121,2.46984
03,103.118,2.43848
06,103.121,2.43886
09,103.121,2.43784
15,103.123,2.4406
30,103.115,2.44283
45,103.119,2.43839
90,103.115,2.43827
