dt,mean,stdev
0.5,103.119,2.47071
01,103.061,2.46523
03,102.392,2.39756
06,102.394,2.39966
09,102.403,2.40825
15,102.4,2.40492
30,102.379,2.40969
45,102.401,2.40295
90,102.389,2.39805
