dt,mean,stdev
0.5,107.672,5.22617
01,107.696,5.22314
03,108.082,5.20074
06,108.08,5.20493
09,108.084,5.20691
15,108.076,5.24698
30,108.077,5.21916
45,108.067,5.21959
90,108.088,5.21127
