# Dihedral Angle (Degree),  Occurrence1,  Occurrence2
1.000000000,  76.63834580,  73.11175874
3.000000000,  76.31116154,  72.77930954
5.000000000,  76.09521545,  72.84228511
7.000000000,  76.78382033,  72.73461663
9.000000000,  77.61513083,  73.24061011
11.00000000,  76.72581391,  73.41729250
13.00000000,  77.38811317,  73.95066329
15.00000000,  77.52929098,  74.64840827
17.00000000,  77.73186861,  75.55441990
19.00000000,  79.77918250,  76.28368620
21.00000000,  80.11541347,  76.74566696
23.00000000,  81.14945221,  78.31189235
25.00000000,  83.24060388,  80.62511716
27.00000000,  84.88681206,  81.72801332
29.00000000,  86.17572045,  84.99466881
31.00000000,  88.59678289,  86.98556157
33.00000000,  91.69033080,  89.17963936
35.00000000,  93.51155892,  93.24182525
37.00000000,  96.47456386,  96.11473570
39.00000000,  99.11577361,  97.85532384
41.00000000,  103.5065847,  101.0320863
43.00000000,  106.9531977,  104.4426363
45.00000000,  109.9098078,  108.8634227
47.00000000,  111.4128924,  112.5424709
49.00000000,  115.5877606,  115.1802261
51.00000000,  118.0306599,  118.7821305
53.00000000,  120.4508578,  121.5542824
55.00000000,  121.9609702,  123.3722679
57.00000000,  123.2806658,  124.4031461
59.00000000,  124.3885280,  126.1307495
61.00000000,  124.3272993,  125.3258432
63.00000000,  122.9313570,  125.4465917
65.00000000,  121.5619604,  123.4663836
67.00000000,  119.2298642,  121.6634732
69.00000000,  115.6475653,  119.2090151
71.00000000,  112.4818881,  115.9876715
73.00000000,  108.6986472,  110.0796534
75.00000000,  103.3177724,  105.8411597
77.00000000,  98.45812239,  101.6974520
79.00000000,  93.88744649,  97.25547359
81.00000000,  88.88309060,  92.39784036
83.00000000,  85.07654312,  87.94627867
85.00000000,  81.85554164,  84.54212803
87.00000000,  80.64042854,  81.65837267
89.00000000,  78.13007362,  79.13521069
91.00000000,  76.52480993,  78.28979236
93.00000000,  76.98010158,  78.39166333
95.00000000,  76.88572648,  78.71085011
97.00000000,  79.90624037,  80.10569033
99.00000000,  82.27495908,  83.01554374
101.0000000,  86.24382225,  87.00842758
103.0000000,  92.04494248,  91.42359539
105.0000000,  97.50833449,  98.30243463
107.0000000,  102.6885680,  103.2249127
109.0000000,  109.2168169,  108.7354498
111.0000000,  114.1439902,  114.0233404
113.0000000,  119.1539554,  120.1369368
115.0000000,  124.0170074,  124.7657609
117.0000000,  127.5098700,  127.7857183
119.0000000,  129.0979614,  130.8883047
121.0000000,  129.5093427,  130.6754000
123.0000000,  129.5446032,  130.9381463
125.0000000,  127.7928228,  129.1679023
127.0000000,  125.2581406,  125.7102987
129.0000000,  121.3692022,  124.6446817
131.0000000,  117.4182203,  120.1063964
133.0000000,  112.4154995,  113.8846600
135.0000000,  107.3578249,  110.1576996
137.0000000,  102.5416537,  105.5537483
139.0000000,  98.28499168,  101.2046120
141.0000000,  94.88956162,  96.03871131
143.0000000,  91.22400808,  91.86382444
145.0000000,  87.95391121,  90.33735461
147.0000000,  85.57415109,  87.41354844
149.0000000,  84.06248401,  85.45891417
151.0000000,  82.98281418,  85.28025788
153.0000000,  83.10712417,  84.83009053
155.0000000,  85.16442893,  85.95969846
157.0000000,  86.08330949,  87.08784360
159.0000000,  88.12915571,  89.62818787
161.0000000,  89.51661255,  91.78474141
163.0000000,  93.30115827,  95.93857792
165.0000000,  97.69794477,  97.27877230
167.0000000,  100.7685882,  99.97105930
169.0000000,  104.2429970,  103.2903836
171.0000000,  107.8440731,  107.2346986
173.0000000,  109.4746050,  110.2745046
175.0000000,  111.4311615,  112.7325179
177.0000000,  113.5251578,  114.0502548
179.0000000,  114.4837516,  114.1043022
181.0000000,  114.9926174,  114.5102585
183.0000000,  114.1400052,  114.5017151
185.0000000,  113.4738695,  112.6628470
187.0000000,  112.0844056,  110.4627316
189.0000000,  109.0444005,  107.4988871
191.0000000,  105.9782604,  104.4270504
193.0000000,  103.1583031,  103.2249200
195.0000000,  99.91100408,  98.62309655
197.0000000,  97.06770867,  96.17354815
199.0000000,  93.45159392,  92.74914361
201.0000000,  90.25315735,  89.81250226
203.0000000,  87.58861695,  88.41682867
205.0000000,  86.59433515,  86.13149815
207.0000000,  85.32577599,  84.82118170
209.0000000,  84.57073604,  84.74291438
211.0000000,  86.19950766,  85.72408583
213.0000000,  86.10749928,  87.25064701
215.0000000,  89.11357032,  89.65263928
217.0000000,  91.80446991,  92.95531369
219.0000000,  94.78746304,  96.97843745
221.0000000,  99.37554548,  101.3805979
223.0000000,  103.6937286,  104.4544604
225.0000000,  108.3553530,  109.5700235
227.0000000,  113.3831351,  115.3168651
229.0000000,  117.8904613,  118.9675206
231.0000000,  122.1063929,  123.6016314
233.0000000,  127.5555661,  127.7706974
235.0000000,  131.4081804,  131.2745230
237.0000000,  132.7930355,  132.7271187
239.0000000,  134.6677549,  133.2217556
241.0000000,  134.1617044,  132.9823173
243.0000000,  132.7461070,  130.3245697
245.0000000,  129.6894438,  126.2512563
247.0000000,  125.9115919,  122.6576383
249.0000000,  119.8990166,  119.2913703
251.0000000,  114.8530288,  113.0673490
253.0000000,  107.9482986,  107.2343477
255.0000000,  102.8258141,  100.2247204
257.0000000,  97.34232315,  95.04116856
259.0000000,  91.70241443,  90.08970567
261.0000000,  87.38109894,  86.59692425
263.0000000,  84.14623692,  83.43133018
265.0000000,  81.36070654,  80.55005130
267.0000000,  80.21760665,  78.85852158
269.0000000,  80.25982814,  79.44687926
271.0000000,  79.62123568,  80.83943136
273.0000000,  82.54378957,  82.87352917
275.0000000,  85.06645323,  85.66870662
277.0000000,  87.91466104,  88.87813030
279.0000000,  91.64218719,  92.22239265
281.0000000,  95.87728967,  97.25190217
283.0000000,  100.0667041,  100.4359109
285.0000000,  103.9135186,  105.0246744
287.0000000,  108.5430931,  110.4626311
289.0000000,  112.9396799,  113.4200102
291.0000000,  117.7062627,  118.0170245
293.0000000,  120.1767802,  119.1409825
295.0000000,  121.1401238,  121.7741897
297.0000000,  122.4311079,  123.4703743
299.0000000,  123.5382262,  123.7084149
301.0000000,  122.6811001,  123.5863064
303.0000000,  122.1067648,  123.4361708
305.0000000,  122.3466665,  122.5862983
307.0000000,  120.8314643,  120.2626253
309.0000000,  117.8001753,  117.1724515
311.0000000,  115.0619047,  115.8345621
313.0000000,  112.2875618,  112.3783185
315.0000000,  108.7663402,  110.3235320
317.0000000,  106.0953323,  106.5421127
319.0000000,  102.1191452,  103.4026637
321.0000000,  100.4068685,  101.0050701
323.0000000,  97.15359388,  97.58870456
325.0000000,  94.18592804,  94.44602677
327.0000000,  91.94225521,  91.23783342
329.0000000,  89.43030233,  88.49688864
331.0000000,  86.96284960,  85.35084723
333.0000000,  85.22600227,  83.90240751
335.0000000,  82.88118372,  82.26771487
337.0000000,  81.57735045,  80.04396222
339.0000000,  80.23332284,  80.34409651
341.0000000,  79.47778433,  79.02568305
343.0000000,  78.18577255,  76.74200517
345.0000000,  77.84574434,  76.76714329
347.0000000,  77.91322673,  75.94119540
349.0000000,  77.61720970,  74.37530308
351.0000000,  76.72439782,  74.30728727
353.0000000,  76.84585101,  73.79064575
355.0000000,  76.53321473,  73.78206583
357.0000000,  76.09090126,  73.52827959
359.0000000,  76.91611299,  72.97823289
