dt,mean,stdev
0.5,180.275degreeStandarddeviation,178.756degreeStandarddeviation,180.051degreeStandarddeviation
01,180.323degreeStandarddeviation,179.772degreeStandarddeviation,178.976degreeStandarddeviation
03,179.666degreeStandarddeviation,178.276degreeStandarddeviation,179.563degreeStandarddeviation
06,178.342degreeStandarddeviation,180.672degreeStandarddeviation,180.421degreeStandarddeviation
09,185.182degreeStandarddeviation,178.454degreeStandarddeviation,178.67degreeStandarddeviation
15,186.503degreeStandarddeviation,178.319degreeStandarddeviation,179.026degreeStandarddeviation
30,181.508degreeStandarddeviation,179.372degreeStandarddeviation,179.263degreeStandarddeviation
45,183.649degreeStandarddeviation,178.183degreeStandarddeviation,178.362degreeStandarddeviation
90,173.738degreeStandarddeviation,180.638degreeStandarddeviation,183.442degreeStandarddeviation
