dt,mean,stdev
0.5,103.119,2.47071
01,103.119,2.46977
03,103.12,2.45492
06,103.119,2.45437
09,103.121,2.45608
15,103.12,2.45837
30,103.122,2.45997
45,103.117,2.45995
90,103.114,2.46005
