dt,mean,stdev
0.5,107.672,5.22617
01,107.664,5.2253
03,107.67,5.22517
06,107.669,5.22763
09,107.665,5.22788
15,107.669,5.23381
30,107.674,5.23841
45,107.669,5.23108
90,107.674,5.2354
